EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-5.119,-2.419,-1.654,-4.306,-2.977,3.545,2.398,1.421,0.047,0.979,-0.290,-0.824,-0.610,-0.488,100.000,74112.000,1.000
-4.475,-1.815,-0.563,-3.470,-1.439,3.472,2.388,1.812,0.047,0.979,-0.292,-1.007,-0.519,-0.336,100.000,74113.000,1.000
-3.425,-0.608,0.957,-2.243,0.105,3.187,1.834,1.819,0.045,0.977,-0.292,-1.068,-0.580,-0.397,100.000,74114.000,1.000
-2.211,0.635,2.243,-1.041,1.171,2.578,1.074,1.571,0.045,0.977,-0.288,-1.129,-0.549,-0.458,100.000,74115.000,1.000
-1.098,1.423,2.884,-0.167,1.669,1.670,0.541,1.312,0.044,0.979,-0.287,-1.099,-0.519,-0.397,100.000,74116.000,1.000
-0.092,1.723,3.083,0.507,2.011,0.744,0.516,1.348,0.043,0.979,-0.289,-1.099,-0.488,-0.275,100.000,74117.000,1.000
0.897,1.729,3.251,1.262,2.559,0.040,0.837,1.686,0.043,0.978,-0.291,-1.190,-0.580,-0.366,100.000,74118.000,1.000
1.789,1.541,3.448,2.081,3.169,-0.422,1.016,1.966,0.041,0.980,-0.290,-1.251,-0.580,-0.366,100.000,74119.000,1.000
2.409,1.215,3.416,2.679,3.449,-0.687,0.666,1.875,0.042,0.979,-0.288,-1.343,-0.610,-0.244,100.000,74120.000,1.000
2.689,0.887,2.956,2.878,3.282,-0.739,-0.179,1.480,0.042,0.980,-0.289,-1.434,-0.610,-0.122,100.000,74121.000,1.000
2.724,0.717,2.181,2.852,2.988,-0.516,-1.016,1.206,0.042,0.980,-0.291,-1.526,-0.671,-0.061,100.000,74122.000,1.000
2.732,0.821,1.482,3.010,3.056,0.098,-1.170,1.538,0.043,0.980,-0.289,-1.587,-0.702,-0.061,100.000,74123.000,1.000
2.929,1.220,1.279,3.635,3.731,1.151,-0.287,2.612,0.042,0.979,-0.289,-1.709,-0.641,0.061,100.000,74124.000,1.000
3.383,1.805,1.720,4.602,4.796,2.441,1.373,3.943,0.043,0.980,-0.288,-1.617,-0.702,0.000,100.000,74125.000,1.000
3.987,2.345,2.563,5.459,5.748,3.604,3.107,4.634,0.043,0.981,-0.287,-1.678,-0.702,0.031,100.000,74126.000,1.000
4.580,2.637,3.377,5.834,6.237,4.433,4.263,4.119,0.042,0.980,-0.287,-1.678,-0.824,0.061,100.000,74127.000,1.000
5.000,2.647,3.791,5.630,6.267,4.942,4.594,2.622,0.043,0.979,-0.289,-1.678,-0.885,0.214,100.000,74128.000,1.000
5.004,2.408,3.555,4.868,5.954,5.133,4.196,0.837,0.043,0.981,-0.289,-1.740,-0.793,0.305,100.000,74129.000,1.000
4.331,1.878,2.565,3.583,5.281,4.900,3.290,-0.686,0.045,0.979,-0.290,-1.740,-0.824,0.214,100.000,74130.000,1.000
2.960,1.073,0.995,1.975,4.213,4.193,2.195,-1.724,0.044,0.979,-0.286,-1.770,-0.702,0.336,100.000,74131.000,1.000
1.239,0.196,-0.647,0.501,2.961,3.205,1.366,-2.145,0.045,0.981,-0.289,-1.770,-0.824,0.275,100.000,74132.000,1.000
