EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-0.551,1.132,-3.191,-7.277,-2.065,5.943,2.649,-1.108,0.030,0.983,-0.238,-1.434,-0.946,-0.061,100.000,63553.000,1.000
1.953,1.777,-1.194,-5.933,-2.113,4.997,0.506,-4.629,0.032,0.981,-0.240,-1.282,-0.824,-0.061,100.000,63554.000,1.000
2.885,1.583,-0.260,-5.023,-2.354,3.406,-1.498,-8.529,0.032,0.981,-0.242,-1.160,-0.824,-0.122,100.000,63555.000,1.000
2.292,0.637,-0.409,-4.686,-2.623,1.407,-2.778,-12.481,0.034,0.982,-0.243,-0.854,-0.824,-0.061,100.000,63556.000,1.000
0.799,-0.776,-1.345,-4.885,-2.983,-1.424,-3.700,-15.920,0.033,0.981,-0.240,-0.793,-0.732,-0.153,100.000,63557.000,1.000
-0.850,-2.299,-2.611,-5.512,-3.564,-5.569,-5.167,-18.347,0.034,0.982,-0.238,-0.610,-0.641,-0.031,100.000,63558.000,1.000
-2.059,-3.509,-3.596,-6.237,-4.243,-10.724,-7.679,-19.452,0.034,0.980,-0.241,-0.458,-0.488,0.061,100.000,63559.000,1.000
-2.365,-3.905,-3.662,-6.474,-4.631,-15.806,-10.913,-19.179,0.036,0.981,-0.241,-0.244,-0.427,0.031,100.000,63560.000,1.000
-1.501,-3.095,-2.476,-5.675,-4.347,-19.383,-13.820,-17.706,0.035,0.981,-0.240,-0.061,-0.336,0.092,100.000,63561.000,1.000
0.390,-1.140,-0.243,-3.668,-3.261,-20.227,-15.055,-15.214,0.034,0.982,-0.243,0.061,-0.183,0.031,100.000,63562.000,1.000
2.694,1.360,2.357,-0.750,-1.597,-17.956,-13.723,-11.601,0.034,0.981,-0.240,0.183,0.000,-0.061,100.000,63563.000,1.000
4.507,3.506,4.417,2.387,0.115,-13.307,-9.984,-6.647,0.036,0.983,-0.241,0.275,0.183,-0.092,100.000,63564.000,1.000
5.010,4.507,5.155,4.889,1.307,-7.590,-4.925,-0.480,0.036,0.985,-0.240,0.366,0.244,-0.183,100.000,63565.000,1.000
3.885,4.016,4.272,6.071,1.701,-1.828,0.184,6.157,0.037,0.989,-0.241,0.366,0.305,-0.305,100.000,63566.000,1.000
1.496,2.235,2.048,5.662,1.412,3.488,4.430,12.059,0.033,0.989,-0.242,0.397,0.458,-0.336,100.000,63567.000,1.000
-1.334,-0.159,-0.821,3.876,0.797,7.939,7.299,16.024,0.035,0.990,-0.241,0.427,0.549,-0.366,100.000,63568.000,1.000
-3.735,-2.287,-3.526,1.275,0.192,10.911,8.546,17.345,0.035,0.991,-0.242,0.519,0.671,-0.275,100.000,63569.000,1.000
-5.175,-3.478,-5.470,-1.565,-0.302,11.915,8.156,15.989,0.033,0.993,-0.247,0.519,0.793,-0.275,100.000,63570.000,1.000
-5.574,-3.507,-6.363,-4.184,-0.745,11.092,6.502,12.548,0.032,0.993,-0.245,0.519,0.854,-0.305,100.000,63571.000,1.000
-5.028,-2.454,-6.040,-6.054,-1.035,9.336,4.510,8.148,0.033,0.996,-0.245,0.519,0.977,-0.244,100.000,63572.000,1.000
-3.477,-0.477,-4.356,-6.540,-0.853,7.698,3.191,4.078,0.033,0.997,-0.245,0.488,0.946,-0.397,100.000,63573.000,1.000
-0.774,2.192,-1.313,-5.209,0.051,6.563,2.770,1.114,0.032,0.996,-0.243,0.427,0.977,-0.397,100.000,63574.000,1.000
2.960,5.203,2.842,-2.102,1.747,5.633,2.710,-0.749,0.030,0.999,-0.241,0.275,1.007,-0.458,100.000,63575.000,1.000
7.174,8.156,7.591,2.189,4.166,4.526,2.487,-1.957,0.026,0.997,-0.242,0.153,0.977,-0.366,100.000,63576.000,1.000
11.058,10.644,12.171,6.595,6.976,3.141,1.895,-3.081,0.024,0.994,-0.241,0.153,1.038,-0.336,100.000,63577.000,1.000
13.890,12.254,15.782,9.985,9.518,1.604,0.817,-4.636,0.024,0.993,-0.240,0.000,1.038,-0.366,100.000,63578.000,1.000
15.319,12.617,17.882,11.755,11.091,0.090,-0.837,-6.746,0.025,0.989,-0.242,-0.092,1.038,-0.336,100.000,63579.000,1.000
15.477,11.666,18.382,12.072,11.349,-1.289,-2.922,-8.923,0.025,0.988,-0.245,-0.061,0.854,-0.305,100.000,63580.000,1.000
14.877,9.876,17.642,11.565,10.438,-2.470,-5.006,-10.432,0.026,0.991,-0.247,-0.031,0.763,-0.183,100.000,63581.000,1.000
14.056,8.097,16.271,10.856,8.810,-3.336,-6.598,-10.967,0.026,0.995,-0.246,0.153,0.580,-0.092,100.000,63582.000,1.000
13.214,7.021,14.740,10.196,6.851,-3.721,-7.460,-10.947,0.028,0.996,-0.248,0.122,0.519,0.122,100.000,63583.000,1.000
12.096,6.681,13.022,9.329,4.554,-3.630,-7.658,-11.054,0.027,0.994,-0.246,0.000,0.427,0.244,100.000,63584.000,1.000
10.224,6.327,10.583,7.694,1.536,-3.416,-7.419,-11.541,0.025,0.993,-0.248,-0.061,0.336,0.305,100.000,63585.000,1.000
7.162,4.824,6.750,4.813,-2.675,-3.687,-7.162,-12.182,0.027,0.991,-0.248,0.000,0.275,0.244,100.000,63586.000,1.000
2.688,1.382,1.187,0.551,-8.240,-4.865,-7.506,-12.711,0.028,0.990,-0.250,0.031,0.275,0.366,100.000,63587.000,1.000
-2.974,-3.811,-5.718,-4.751,-14.542,-6.623,-8.682,-12.886,0.027,0.990,-0.246,0.092,0.244,0.366,100.000,63588.000,1.000
-9.009,-9.480,-12.724,-10.226,-19.972,-7.718,-9.794,-12.177,0.029,0.991,-0.245,0.214,0.214,0.427,100.000,63589.000,1.000
-14.267,-13.839,-18.151,-14.660,-22.496,-6.658,-9.099,-9.799,0.028,0.991,-0.245,0.122,0.214,0.427,100.000,63590.000,1.000
-17.808,-15.569,-20.734,-16.956,-20.824,-2.796,-5.365,-5.341,0.029,0.989,-0.244,0.031,0.122,0.305,100.000,63591.000,1.000
-19.300,-14.513,-20.270,-16.662,-15.288,3.047,0.920,0.702,0.029,0.987,-0.244,-0.031,0.092,0.183,100.000,63592.000,1.000
-18.945,-11.613,-17.549,-14.129,-7.633,8.993,7.765,7.157,0.027,0.983,-0.248,-0.031,0.092,0.061,100.000,63593.000,1.000
-17.122,-8.164,-13.668,-10.202,0.067,13.221,13.134,12.824,0.028,0.983,-0.247,0.061,0.061,-0.153,100.000,63594.000,1.000
-14.280,-5.097,-9.521,-5.856,6.344,14.790,16.001,16.799,0.030,0.982,-0.246,0.092,-0.031,-0.305,100.000,63595.000,1.000
-11.021,-2.864,-5.755,-2.023,10.501,13.629,16.289,18.486,0.031,0.983,-0.247,0.153,0.031,-0.458,100.000,63596.000,1.000
-7.849,-1.523,-2.726,0.701,12.520,10.365,14.606,17.817,0.032,0.983,-0.248,0.214,-0.031,-0.427,100.000,63597.000,1.000
-4.852,-0.659,-0.280,2.348,13.017,6.336,12.119,15.398,0.032,0.982,-0.250,0.275,0.031,-0.458,100.000,63598.000,1.000
-1.798,0.489,2.122,3.454,12.893,3.032,9.919,12.127,0.033,0.983,-0.251,0.244,0.214,-0.488,100.000,63599.000,1.000
1.599,2.588,5.030,4.732,12.867,1.176,8.314,8.789,0.033,0.987,-0.252,0.336,0.275,-0.488,100.000,63600.000,1.000
5.487,5.750,8.699,6.786,13.283,0.537,6.965,5.945,0.031,0.985,-0.250,0.397,0.336,-0.580,100.000,63601.000,1.000
9.698,9.372,12.855,9.779,14.059,0.431,5.419,3.867,0.032,0.986,-0.250,0.397,0.366,-0.549,100.000,63602.000,1.000
13.691,12.446,16.684,13.210,14.702,0.159,3.329,2.538,0.030,0.988,-0.250,0.427,0.519,-0.458,100.000,63603.000,1.000
16.643,14.026,19.141,16.027,14.442,-0.733,0.444,1.583,0.028,0.992,-0.249,0.488,0.427,-0.580,100.000,63604.000,1.000
17.676,13.512,19.315,16.967,12.437,-2.262,-3.361,0.035,0.029,0.992,-0.246,0.366,0.397,-0.366,100.000,63605.000,1.000
16.305,10.914,16.815,15.109,8.149,-4.010,-7.883,-3.292,0.028,0.994,-0.244,0.458,0.336,-0.305,100.000,63606.000,1.000
12.856,7.004,12.087,10.486,1.872,-5.389,-12.279,-8.665,0.026,0.995,-0.244,0.275,0.275,-0.336,100.000,63607.000,1.000
8.256,2.910,6.252,4.163,-5.208,-6.057,-15.237,-14.885,0.025,0.993,-0.245,0.122,0.305,-0.244,100.000,63608.000,1.000
3.435,-0.603,0.443,-2.365,-11.684,-6.246,-15.923,-20.130,0.025,0.993,-0.244,0.092,0.305,-0.275,100.000,63609.000,1.000
-0.863,-3.304,-4.564,-7.741,-16.479,-6.544,-14.594,-22.974,0.027,0.995,-0.245,0.000,0.275,-0.092,100.000,63610.000,1.000
-3.986,-5.096,-8.164,-10.912,-18.803,-7.169,-12.065,-22.544,0.026,0.993,-0.244,-0.031,0.214,-0.122,100.000,63611.000,1.000
-5.554,-5.835,-9.926,-11.361,-18.158,-7.583,-8.818,-18.433,0.025,0.994,-0.247,-0.214,0.214,-0.092,100.000,63612.000,1.000
-5.627,-5.496,-9.851,-9.359,-14.655,-6.823,-4.739,-10.898,0.028,0.993,-0.246,-0.275,0.061,-0.031,100.000,63613.000,1.000
-4.583,-4.289,-8.429,-5.841,-9.189,-4.215,0.308,-1.056,0.029,0.993,-0.248,-0.183,0.031,0.031,100.000,63614.000,1.000
-3.042,-2.745,-6.552,-2.104,-3.349,-0.164,5.584,9.125,0.028,0.992,-0.247,-0.275,0.000,0.244,100.000,63615.000,1.000
-1.833,-1.662,-5.279,0.578,1.056,3.785,9.523,17.379,0.028,0.992,-0.248,-0.427,0.122,0.366,100.000,63616.000,1.000
-1.657,-1.654,-5.290,1.530,2.894,6.071,11.010,22.214,0.028,0.992,-0.251,-0.488,0.122,0.366,100.000,63617.000,1.000
-2.600,-2.660,-6.417,1.011,2.303,6.314,10.302,23.593,0.030,0.990,-0.250,-0.458,0.061,0.336,100.000,63618.000,1.000
-4.031,-3.928,-7.753,-0.071,0.461,5.346,8.610,22.574,0.030,0.991,-0.247,-0.488,0.092,0.336,100.000,63619.000,1.000
-5.021,-4.494,-8.272,-0.777,-1.174,4.384,7.150,20.313,0.033,0.992,-0.249,-0.519,0.122,0.397,100.000,63620.000,1.000
-5.027,-3.816,-7.484,-0.662,-1.630,4.246,6.563,17.422,0.031,0.991,-0.248,-0.610,0.061,0.549,100.000,63621.000,1.000
-4.202,-2.094,-5.656,0.133,-0.794,4.939,6.708,14.049,0.032,0.991,-0.249,-0.702,0.153,0.580,100.000,63622.000,1.000
-3.091,-0.081,-3.476,1.200,0.691,5.674,6.743,10.255,0.032,0.989,-0.249,-0.641,0.214,0.610,100.000,63623.000,1.000
-2.094,1.369,-1.552,2.217,1.898,5.391,5.649,6.249,0.034,0.989,-0.247,-0.671,0.244,0.641,100.000,63624.000,1.000
-1.217,1.793,-0.074,3.154,2.273,3.663,3.076,2.435,0.033,0.990,-0.251,-0.702,0.275,0.641,100.000,63625.000,1.000
-0.138,1.463,1.242,4.272,2.049,1.128,-0.258,-0.662,0.033,0.990,-0.248,-0.702,0.336,0.458,100.000,63626.000,1.000
1.495,1.188,2.824,5.806,1.906,-1.134,-3.199,-2.773,0.033,0.990,-0.246,-0.732,0.427,0.397,100.000,63627.000,1.000
3.688,1.632,4.741,7.513,2.208,-2.517,-5.105,-4.282,0.032,0.988,-0.248,-0.732,0.458,0.366,100.000,63628.000,1.000
6.023,2.854,6.604,8.697,2.721,-3.072,-6.014,-5.896,0.031,0.989,-0.245,-0.732,0.549,0.366,100.000,63629.000,1.000
7.980,4.448,7.970,8.819,3.031,-3.043,-6.162,-7.799,0.030,0.989,-0.244,-0.732,0.519,0.305,100.000,63630.000,1.000
9.207,5.933,8.704,7.959,2.993,-2.542,-5.679,-9.374,0.031,0.989,-0.245,-0.793,0.519,0.122,100.000,63631.000,1.000
